bigram                         llr                  bigram oc. un. 1 oc.  un. 2 oc.
jest obowiązany                17897.72642446137    1568       13252      2098
ochrony środowiska             17811.971116771052   1383       4606       3333
zgodnie z                      17739.687420637027   2585       2639       82923
działalności gospodarczej      17158.628049248782   1177       4746       1316
na wniosek                     17158.136257857954   2477       50809      4674
niniejszej ustawy              17052.45694573331    1449       1655       13205
opieki zdrowotnej              17030.376963754075   990        1688       1091
w terminie                     16836.88663003724    4078       202079     4843
z zastrzeżeniem                16823.74367671057    2439       82923      2448
ze względu                     16641.616567342746   1185       5521       1418
określonych w                  16444.43038603794    4072       5071       202079
zostały ogłoszone              16290.528866556719   969        2148       988
straży granicznej              16030.016967302463   930        1647       1055
rady ministrów                 15910.790728559914   1168       4043       2425
z tytułu                       15827.021638102715   2444       82923      3034
budżetu państwa                15794.547502392288   1167       1607       5992
administracji rządowej         15659.626048406253   988        2959       1097
w tym                          15624.219519513563   4255       202079     6399
wprowadza się                  15566.326630991358   1853       2003       46067
w szczególności                15469.358970238332   3474       202079     3474
podlega karze                  15159.742580867125   992        2707       1588
się następujące                15130.40866190306    1858       46067      2279
ubezpieczeń społecznych        15129.295365244725   887        1679       1088
w i                            14920.688256473928   19         202079     90377
przypadku gdy                  14785.696567609582   1226       6543       2894
produktu leczniczego           14549.04285276789    797        1164       844
art w                          14208.454027631047   1          84265      202079
zasadach określonych           14057.262176570242   1049       1890       5071
w razie                        13968.126592027673   3140       202079     3151
się wyrazy                     13966.627549258936   2180       46067      5817
z w                            13913.250553143058   4          82923      202079
w z                            13748.101752682645   13         202079     82923
określi w                      13692.683483099276   3222       3598       202079
papierów wartościowych         13592.8162138578     703        723        752
zasięgnięciu opinii            13381.464346245226   766        778        1718
rada ministrów                 13234.681472397902   893        2000       2425
miesięcy od                    12789.869331653674   1298       2646       16774
dniem wejścia                  12414.87076752983    921        3478       2461
nie może                       12404.808834957234   1990       23070      12148
niniejszą ustawą               12333.275624696516   665        671        1125
szczegółowe zasady             12287.599607111177   818        1454       2816
na zasadach                    12221.251050403598   1549       50809      1890
otrzymują brzmienie            12211.219774016236   983        1119       10627
ustawy z                       12088.145721891911   3186       13205      82923
porozumieniu z                 11863.695318662529   1733       1797       82923
względu na                     11728.780117949642   1415       1418       50809
brzmienie art                  11637.109645183025   2887       10627      84265
spraw finansów                 11636.42324493908    1033       10037      2128
na terytorium                  11535.032895755912   1476       50809      1869
życie ustawy                   11344.537650422237   1238       4410       13205
życie niniejszej               11265.650247229558   829        4410       1655
spraw gospodarki               11255.136717933741   1040       10037      2581
po wyrazach                    11215.49340370258    935        13601      941
z wyjątkiem                    11189.196197117955   1634       82923      1694
w o                            10935.382378369375   2          202079     65201
o w                            10785.280557440834   10         65201      202079
w sprawach                     10753.581755413079   2520       202079     2794
w celu                         10666.149669253786   2661       202079     3381
wejścia w                      10472.938398984079   2381       2461       202079
tekstu jednolitego             10413.832721508148   533        629        663
produktów leczniczych          10366.905525105278   610        1792       779
z dniem                        10265.72373013093    1836       82923      3478
przez to                       10249.99171795934    1235       21027      3728
w do                           10244.459374668477   1          202079     61002
do w                           10244.459374668279   1          61002      202079
właściwego do                  10242.159103671578   1600       3080       61002
służby cywilnej                10212.52764511268    718        3848       1292
do obrotu                      10200.971860904543   1529       61002      2606
tys zł                         10141.479790512787   592        649        1937
wymienionej ustawy             10134.572714280977   901        1349       13205
u z                            10106.459443261398   1808       3428       82923
oraz z                         10025.070222650094   4294       33660      82923
spraw zdrowia                  10013.523254949267   951        10037      2676
font family                    10004.505915845335   543        1253       543
nie stosuje                    9879.663930238015    1426       23070      6712
ustawy zostały                 9849.725966438897    955        13205      2148
wraz z                         9713.506970233764    1441       1580       82923
właściwym do                   9642.026523591763    1354       1875       61002
zastrzeżeniem ust              9586.28526021346     1381       2448       53704
później niż                    9557.658131477083    700        865        6479
jednostek organizacyjnych      9526.853836111724    606        2416       982
o zmianie                      9486.636176686374    1302       65201      1522
dnia ogłoszenia                9482.974719051239    965        18051      1843
z ministrem                    9395.64099351166     1480       82923      1970
kropkę zastępuje               9390.74226643311     646        773        4823
mso style                      9326.622044749032    448        448        450
po zasięgnięciu                9270.872391875717    772        13601      778
zmianie ustawy                 9225.570396925006    850        1522       13205
jednolitego wymienionej        8984.851299361286    507        663        1349
na rzecz                       8918.813259689889    1109       50809      1263
administracji publicznej       8911.832616100619    643        2959       1822
określone w                    8901.152153973286    2147       2542       202079
dnia wejścia                   8885.484761069823    970        18051      2461
straży pożarnej                8841.22706742534     497        1647       497
nadzór nad                     8826.178699219838    517        753        1591
jednak niż                     8774.287025263237    687        1268       6479
drodze decyzji                 8759.777558706328    832        7189       3391
w sprawie                      8647.057856505942    2023       202079     2238
rozumie się                    8612.344182432707    1004       1005       46067
służby wojskowej               8605.182222207217    630        3848       1461
nie później                    8590.173713069042    823        23070      865
na w                           8516.161669440746    1          50809      202079
dzienniku urzędowym            8485.284660838252    425        596        494
w na                           8473.977409908264    3          202079     50809
wyrobów akcyzowych             8462.608211868854    469        1471       481
urz ue                         8421.911899744204    422        498        591
kodeksu postępowania           8355.333799016384    651        1608       4933
sił zbrojnych                  8353.023609374655    403        457        434
nadanym niniejszą              8337.552602216214    419        445        671
rozumieniu przepisów           8259.143256854108    666        1789       5363
podstawie przepisów            8254.80705072089     865        6896       5363
pod warunkiem                  8152.847129590189    479        1853       605
ustawy o                       8121.862449989763    2250       13205      65201
związanych z                   8114.274945699816    1208       1343       82923
dz urz                         8100.790077358582    498        2959       498
z uwzględnieniem               8056.650090302366    1182       82923      1250
zagospodarowania przestrzennego 8039.029009001564    401        625        434
odpowiednio przepisy           8031.63579533017     786        4467       5876
ministrowi właściwemu          8022.656630048406    442        804        853
zmiany tekstu                  7969.340890746715    529        4039       629
w rozumieniu                   7965.161276515407    1786       202079     1789
postępowania karnego           7960.530072481124    605        4933       1312
pomocy społecznej              7940.523016489082    519        2220       1132
państwowej straży              7917.8421947888055   522        1640       1647
stosunku do                    7834.374715349458    1194       2147       61002
więcej niż                     7833.5484333003815   604        1030       6479
odrębnych przepisów            7732.8332722252435   605        1397       5363
w lub                          7719.481477467541    1          202079     46100
minister sprawiedliwości       7669.933382933723    622        7597       1156
związku z                      7635.666247372888    1301       2177       82923
się ust                        7593.72981961813     3485       46067      53704
jednostki samorządu            7581.968556684658    580        3383       1977
osobowości prawnej             7528.073036266562    396        403        1030
margin bottom                  7523.734719869621    399        1111       399
a w                            7487.297021692275    4294       17057      202079
z późn                         7480.748477773905    1080       82923      1080
w porozumieniu                 7451.034992851212    1706       202079     1797
za granicą                     7400.093737880692    589        11164      599
karze pozbawienia              7380.83206159831     471        1588       1273
energii elektrycznej           7365.981607885606    379        836        405
ue l                           7344.050638685067    391        591        801
wniosku o                      7292.565253354099    1183       2342       65201
prezes rady                    7277.967447412413    602        2497       4043
państwa członkowskiego         7265.214594363534    508        5992       519
pierwszej instancji            7260.064058528553    383        703        617
poz w                          7211.390771432278    27         45502      202079
wykonywania zawodu             7153.120088900094    467        2874       762
odniesieniu do                 7100.048000907483    912        915        61002
osób fizycznych                7096.328757123351    488        4904       582
ograniczenia wolności          7018.915153777539    436        835        1871
jednostki organizacyjne        7000.6283861109305   454        3383       580
ustawy zmienianej              6955.492659968988    575        13205      584
przed upływem                  6904.984590939124    492        4712       780
karze grzywny                  6847.004618571655    412        1588       762
zdanie drugie                  6821.577135968527    345        680        406
do dnia                        6751.660164944814    2232       61002      18051
ze środków                     6750.2722777821455   668        5521       4266
dłuższy niż                    6744.26165249826     484        534        6479
jak również                    6714.177344534695    446        922        2596
prawo do                       6706.310760938746    1272       4016       61002
osób prawnych                  6685.578498752992    526        4904       1396
lit a                          6684.495759914353    734        2048       17057
w poz                          6673.616738740133    74         202079     45502
życie po                       6621.331110517576    820        4410       13601
po wyrazie                     6614.0830297217035   551        13601      563
prezes urzędu                  6611.848638836778    569        2497       4578
skarb państwa                  6601.483088829243    460        461        5992
jednostek samorządu            6491.218143585001    480        2416       1977
do rejestru                    6488.612348080822    1011       61002      1943
wchodzi w                      6363.293556666924    1466       1568       202079
w przepisach                   6354.940824182744    1675       202079     2385
środków trwałych               6352.277727150446    425        4266       506
na czas                        6346.551098912436    891        50809      1569
do czasu                       6313.217495052312    983        61002      1886
odrębnych przepisach           6298.472983286794    442        1397       2385
działalność gospodarczą        6296.815475750528    378        2129       492
związane z                     6285.910809067025    944        1083       82923
miejsce zamieszkania           6247.176341208683    382        1407       911
przez niego                    6228.703733293602    630        21027      979
r prawo                        6201.927779347274    984        33347      4016
tym że                         6177.939223033231    654        6399       4611
stanowią inaczej               6168.925567226388    349        873        799
i i                            6165.906851407709    38         90377      90377
family times                   6131.274696944852    296        543        296
stanowi inaczej                6108.86477858812     367        1374       799
jednostki organizacyjnej       6108.799938925952    404        3383       598
rozporządzenia szczegółowe     6097.554058925186    498        5352       1454
face font                      6070.8196332394755   326        327        1253
font face                      6070.819633239472    326        1253       327
obszar celny                   6068.5129451184785   342        658        1007
pod uwagę                      6061.289709308374    346        1853       359
spraw środowiska               6023.805437699636    662        10037      3333
ministrów określi              6016.145449603837    500        2425       3598
z i                            6011.4865108093345   8          82923      90377
w okresie                      5999.804210177473    1465       202079     1785
podstawie odrębnych            5994.627693357115    512        6896       1397
i w                            5991.595094955103    1399       90377      202079
się wyrazem                    5985.546770090537    713        46067      786
podatku dochodowym             5965.020499262432    354        2059       442
spraw rolnictwa                5938.622533138615    521        10037      1044
brzmieniu nadanym              5917.768009749408    431        7344       445
przepisów ustawy               5875.473890595068    781        5363       13205
i tryb                         5843.974272624454    1150       90377      2481
brzmieniu art                  5838.461553056105    1629       7344       84265
art art                        5810.413681605695    1          84265      84265
komisji wyborczej              5804.179953308988    366        2867       478
główny inspektor               5801.082536150765    340        838        1047
są obowiązani                  5798.195476405605    420        6168       530
walnego zgromadzenia           5722.210373319778    277        280        560
ustawa z                       5717.7773038928135   1193       3245       82923
zwany dalej                    5699.592441879331    315        323        1516
to rozumieć                    5682.583343372203    369        3728       426
uchyla się                     5679.688212974596    685        795        46067
polski obszar                  5676.865645481861    325        1081       658
w trybie                       5668.564678106666    1328       202079     1477
organ egzekucyjny              5663.481940065854    366        3959       376
tej samej                      5655.923091567267    349        2957       372
podatku dochodowego            5641.171544577835    328        2059       349
ustala się                     5628.817849894697    775        1451       46067
lekarza weterynarii            5620.566863592655    324        910        826
w oraz                         5620.244200792197    1          202079     33660
z z                            5603.258660783044    2          82923      82923
komisja wyborcza               5596.8717930941      296        940        374
wniosek o                      5589.935072278365    1210       4674       65201
się pkt                        5574.442471362616    1813       46067      19300
marszałek sejmu                5568.9138857277085   289        443        687
w wysokości                    5554.879357490232    1750       202079     3407
przez ministra                 5553.882288755025    715        21027      2714
w r                            5546.896238134837    2          202079     33347
z wyłączeniem                  5524.931437374908    801        82923      815
w związku                      5494.493000632237    1475       202079     2177
przez okres                    5494.4147089685985   721        21027      2902
czasu pracy                    5468.060234413585    512        1886       7634
m m                            5454.115059529652    326        985        985
uważa się                      5421.713541508894    632        636        46067
sądu okręgowego                5414.439684913768    352        3147       511
kapitału zakładowego           5400.579791052926    267        535        353
style name                     5393.726171716939    254        450        254
podlega grzywnie               5381.47474435851     326        2707       339
podstawie art                  5369.972653693785    1510       6896       84265
dłużej jednak                  5369.739322405556    311        580        1268
przepisów o                    5356.216783996826    1234       5363       65201
wynikających z                 5338.4301552592715   793        878        82923
